id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37060825,Bedroom #Two in Private Two Bedroom Apartment,5706129,Aric,,Historic Anacostia,38.86224,-76.98772,Private room,54,1,8,2020-03-10,0.47,6,292
37062219,Bedroom #One in Private Two Bedroom Apartment,5706129,Aric,,Historic Anacostia,38.86239,-76.98657,Private room,54,1,22,2021-06-03,4.96,6,291
37082916,"DuPont Circle 1BR - Walk to Metro, Embassies, etc",17633,Charlotte,,"Dupont Circle, Connecticut Avenue/K Street",38.90887,-77.04636,Entire home/apt,145,7,2,2021-01-04,0.11,43,325
37091216,Mount Vernon Sq. Historic Victorian Carriage House,5243080,Michael,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90545,-77.01639,Entire home/apt,429,3,9,2020-03-08,0.38,4,339
37093375,"Upscale 1BR in DC near Metro, Gym + Rooftop Pool",48005494,Zeus,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90541,-77.03136,Entire home/apt,124,30,0,,,170,310
37093526,"Modern 1BR in DC near Metro, Gym + Rooftop Pool",48005494,Zeus,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9049,-77.03069,Entire home/apt,125,30,1,2019-10-18,0.05,170,310
37093610,"Elegant 1BR in DC near Metro, Gym + Rooftop Pool",48005494,Zeus,,"Shaw, Logan Circle",38.90614,-77.03126,Entire home/apt,139,30,3,2021-05-01,1.50,170,351
37093653,"Chic 1BR in DC near Metro, Gym + Rooftop Pool",48005494,Zeus,,"Shaw, Logan Circle",38.90695,-77.0308,Entire home/apt,157,30,1,2020-07-31,0.09,170,0
37106544,Modern Foggy Bottom 1BR w/ W/D + Gym 5 block to World Bank by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89911,-77.0516,Entire home/apt,159,30,0,,,131,322
37106577,Ideal Foggy Bottom 1BR w/ W/D + Gym near Kennedy Center by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89871,-77.05025,Entire home/apt,145,30,0,,,131,283
37106646,DC Family Friendly Townhouse - Entire Unit,134672049,Ephrem,,"Capitol View, Marshall Heights, Benning Heights",38.88556,-76.91892,Entire home/apt,265,3,15,2021-06-06,1.21,1,358
37120385,Hip & Luxurious Apartment on Connecticut Avenue,227002039,Justin,,"Hawthorne, Barnaby Woods, Chevy Chase",38.95968,-77.07224,Entire home/apt,155,3,5,2020-09-16,0.43,1,0
37138408,Washington DC 2 Large Bedrooms Apartment A Plus,279353871,Wittney,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90316,-77.01607,Entire home/apt,71,5,1,2019-08-17,0.04,1,0
37150599,Large and Bright 1-BR Apartment in the Heart of DC,6179627,Jamie,,"Dupont Circle, Connecticut Avenue/K Street",38.91839,-77.036,Entire home/apt,230,3,9,2019-10-13,0.41,1,0
37159210,CapitalHill/1BlocktoMetro/SmallBR-180D-2,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88407,-76.99083,Shared room,30,180,0,,,27,364
37159616,Capital Hill/1 BlocktoMetro/MBR150,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88018,-76.98262,Private room,86,150,0,,,27,358
37176697,August Deal Of The Century!  Huge Master BR $39,5884259,Aram,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90448,-76.98211,Private room,39,21,1,2019-07-30,0.04,2,363
37179241,Dc Luxury 2Bed in Best location foggy bottom.,279775863,Daniella,,"West End, Foggy Bottom, GWU",38.90301,-77.05003,Entire home/apt,200,4,1,2020-07-19,0.08,1,326
37179549,Historical Row Home steps from the Capitol,279777862,John,,"Capitol Hill, Lincoln Park",38.88451,-77.00776,Private room,150,2,5,2019-11-08,0.21,2,37
37181831,Private Lower Apartment in Historic Capitol Hill,273858247,Emily And Charlene,,"Capitol Hill, Lincoln Park",38.89067,-76.99788,Entire home/apt,149,1,36,2021-06-28,19.29,1,64
37185264,"Capitol Hill close-in 1BR, sleeps 4, newly updated",43944969,Barbara,,"Union Station, Stanton Park, Kingman Park",38.89255,-76.99674,Entire home/apt,111,2,70,2021-07-05,3.28,1,270
37203714,Wo-Tique's Healing Hut:  Cozy Basement Suite,212325785,Dawn,,"Capitol View, Marshall Heights, Benning Heights",38.88627,-76.92087,Private room,30,1,27,2020-03-09,1.19,1,0
37212596,Spacious & Modern Apt in Historic Neighborhood,74232959,Adam,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92159,-77.01086,Entire home/apt,87,2,131,2021-07-07,6.73,1,59
37213765,"Clean and nice place ,close to metro and bus stop.",279581141,Leontine,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92313,-76.99652,Shared room,80,10,0,,,1,177
37249976,Barnstaple in DC,130957382,Khalid,,"Cathedral Heights, McLean Gardens, Glover Park",38.93344,-77.07264,Shared room,27,1,10,2019-12-28,0.43,1,0
37253675,LOCATION! Walk Everywhere! Metro! 2 Bd/1Bth/1Park,280466002,Robert,,"Capitol Hill, Lincoln Park",38.88172,-77.00412,Entire home/apt,100,3,32,2020-03-22,1.39,1,0
37253958,Bear's House #1,271104154,Lina,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93496,-77.03015,Private room,100,5,0,,,3,88
37254855,Bear House Suite,271104154,Lina,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93114,-77.04185,Private room,140,3,0,,,3,87
37255053,Bear House #3,271104154,Lina,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93174,-77.04185,Private room,120,3,1,2019-09-22,0.05,3,88
37288919,Private Bedroom/Bathroom in Washington DC,16851551,Terrell,,Historic Anacostia,38.8618,-76.98517,Private room,48,2,71,2021-01-16,3.18,2,0
37289643,US Capitol,280731063,Ryan L.,,"Capitol Hill, Lincoln Park",38.89158,-76.99927,Private room,94,1,32,2021-07-03,1.47,1,348
